,,中性,买入,增持,持有
荣盛发展,,,7.0,2.0,
开润股份,,,5.0,3.0,
智飞生物,,,5.0,1.0,
贵州茅台,,,5.0,1.0,
东方盛虹,,,5.0,,
扬农化工,,,4.0,4.0,
万科A,,,4.0,1.0,
爱婴室,,,4.0,,
三花智控,,,3.0,2.0,
上汽集团,,,3.0,2.0,
志邦家居,,,3.0,2.0,
宇通客车,,,3.0,1.0,
帝欧家居,,,3.0,1.0,
苏宁易购,,,3.0,1.0,
视源股份,,,3.0,1.0,
中国交建,,,3.0,,
兆易创新,,,3.0,,
华侨城A,,,3.0,,
泸州老窖,,,3.0,,
金地集团,,,3.0,,
伟星新材,,,2.0,4.0,
海能达,,,2.0,3.0,
龙净环保,,,2.0,3.0,
浙江龙盛,,,2.0,2.0,
新希望,,,2.0,1.0,
普利制药,,,2.0,1.0,
赢合科技,,,2.0,1.0,
金风科技,,,2.0,1.0,
长安汽车,,,2.0,1.0,
三钢闽光,,,2.0,,
中集集团,,,2.0,,
凯文教育,,,2.0,,
利安隆,,,2.0,,
合兴包装,,,2.0,,
欣旺达,,,2.0,,
汉威科技,,,2.0,,
海信家电,,,2.0,,
精工钢构,,,2.0,,
维尔利,,,2.0,,
高新兴,,,2.0,,
美亚光电,,,1.0,3.0,
三一重工,,,1.0,2.0,
南方航空,,,1.0,2.0,
晶瑞股份,,,1.0,2.0,
柳工,,,1.0,2.0,
万达信息,,,1.0,1.0,
世联行,,,1.0,1.0,
东方雨虹,,,1.0,1.0,
中工国际,,,1.0,1.0,
中炬高新,,,1.0,1.0,
丽珠集团,,,1.0,1.0,
九阳股份,,,1.0,1.0,
五粮液,,,1.0,1.0,
亿纬锂能,,,1.0,1.0,
农业银行,,,1.0,1.0,
创业慧康,,,1.0,1.0,
卫星石化,,,1.0,1.0,
四创电子,,,1.0,1.0,
天齐锂业,,,1.0,1.0,
太平鸟,,,1.0,1.0,
工业富联,,,1.0,1.0,
广汽集团,,,1.0,1.0,
普莱柯,,,1.0,1.0,
汇川技术,,,1.0,1.0,
法拉电子,,,1.0,1.0,
珀莱雅,,,1.0,1.0,
药石科技,,,1.0,1.0,
通策医疗,,,1.0,1.0,
上海医药,,,1.0,,
上海家化,,,1.0,,
上海建工,,,1.0,,
中信证券,,,1.0,,
中国中铁,,,1.0,,
中国船舶,,,1.0,,
中宠股份,,,1.0,,
中远海能,,,1.0,,
中金岭南,,,1.0,,
中闽能源,,,1.0,,
乐普医疗,,,1.0,,
九强生物,,,1.0,,
京东方A,,,1.0,,
亿帆医药,,,1.0,,
以岭药业,,,1.0,,
会畅通讯,,,1.0,,
佳发教育,,,1.0,,
信立泰,,,1.0,,
光大银行,,,1.0,,
兴发集团,,,1.0,,
利民股份,,,1.0,,
北新建材,,,1.0,,
北方国际,,,1.0,,
华泰股份,,,1.0,,
华立股份,,,1.0,,
卫士通,,,1.0,,
卫宁健康,,,1.0,,
国轩高科,,,1.0,,
国金证券,,,1.0,,
大冶特钢,,,1.0,,
天坛生物,,,1.0,,
太极实业,,,1.0,,
奥瑞金,,,1.0,,
宁波银行,,,1.0,,
安泰科技,,,1.0,,
安科生物,,,1.0,,
安记食品,,,1.0,,
安诺其,,,1.0,,
安车检测,,,1.0,,
安道麦A,,,1.0,,
宋城演艺,,,1.0,,
宝钢股份,,,1.0,,
密尔克卫,,,1.0,,
山东黄金,,,1.0,,
山煤国际,,,1.0,,
广汇能源,,,1.0,,
开元股份,,,1.0,,
攀钢钒钛,,,1.0,,
新兴铸管,,,1.0,,
新宝股份,,,1.0,,
新易盛,,,1.0,,
星网锐捷,,,1.0,,
景旺电子,,,1.0,,
朗新科技,,,1.0,,
木林森,,,1.0,,
杰瑞股份,,,1.0,,
桃李面包,,,1.0,,
欧普康视,,,1.0,,
歌力思,,,1.0,,
每日互动,,,1.0,,
比亚迪,,,1.0,,
比音勒芬,,,1.0,,
汤臣倍健,,,1.0,,
浙数文化,,,1.0,,
海翔药业,,,1.0,,
涪陵榨菜,,,1.0,,
潍柴动力,,,1.0,,
濮耐股份,,,1.0,,
濮阳惠成,,,1.0,,
煌上煌,,,1.0,,
石大胜华,,,1.0,,
福能股份,,,1.0,,
科士达,,,1.0,,
科斯伍德,,,1.0,,
立讯精密,,,1.0,,
第一创业,,,1.0,,
绝味食品,,,1.0,,
美凯龙,,,1.0,,
航天信息,,,1.0,,
航天电子,,,1.0,,
虹软科技,,,1.0,,
豫园股份,,,1.0,,
贝斯达,2.0,,1.0,,
迪马股份,,,1.0,,
道明光学,,,1.0,,
金城医药,,,1.0,,
金融街,,,1.0,,
金诚信,,,1.0,,
金龙汽车,,,1.0,,
银轮股份,,,1.0,,
长城汽车,,,1.0,,
长春高新,,,1.0,,
闰土股份,,,1.0,,
青岛啤酒,,,1.0,,
韶钢松山,,,1.0,,
香飘飘,,,1.0,,
鼎龙股份,,,1.0,,
云南铜业,,,,3.0,
兴业证券,,1.0,,3.0,
七匹狼,,,,2.0,
中环股份,,,,2.0,
中颖电子,,,,2.0,
华泰证券,,,,2.0,
恒生电子,,,,2.0,
格林美,,,,2.0,
阳光电源,,,,2.0,
飞科电器,,,,2.0,
万东医疗,,,,1.0,
东北制药,,,,1.0,
东方证券,,,,1.0,
东阿阿胶,,,,1.0,
中华企业,,,,1.0,
中国铝业,,,,1.0,
中微公司,1.0,,,1.0,
中百集团,,,,1.0,
中联重科,,,,1.0,
中设集团,,,,1.0,
中远海特,,,,1.0,
中际旭创,,,,1.0,
丽江旅游,,,,1.0,
乾照光电,,,,1.0,
云南白药,,,,1.0,
云海金属,,,,1.0,
云铝股份,,,,1.0,
五洲新春,,,,1.0,
交通银行,,,,1.0,
佩蒂股份,,,,1.0,
光明乳业,,,,1.0,
全筑股份,,,,1.0,
冀东水泥,,,,1.0,
华友钴业,,,,1.0,
华鲁恒升,,,,1.0,
卓翼科技,,,,1.0,
合肥百货,,,,1.0,
同花顺,,,,1.0,
和邦生物,,,,1.0,
国盾量子,1.0,,,1.0,
地素时尚,,,,1.0,
复星医药,,,,1.0,
大博医疗,,,,1.0,
奥拓电子,,,,1.0,
广发证券,,,,1.0,
思创医惠,,,,1.0,
捷昌驱动,,,,1.0,
新农股份,,,,1.0,
新宙邦,,,,1.0,
旭升股份,,,,1.0,
明阳智能,,,,1.0,
桐昆股份,,,,1.0,
民生银行,,,,1.0,
汇得科技,,,,1.0,
洛阳钼业,,,,1.0,
海康威视,,,,1.0,
海螺水泥,,,,1.0,
海辰药业,,,,1.0,
深圳燃气,,,,1.0,
深圳能源,,,,1.0,
温氏股份,,,,1.0,
爱柯迪,,,,1.0,
环旭电子,,,,1.0,
珠江钢琴,,,,1.0,
电连技术,,,,1.0,
盛和资源,,,,1.0,
福耀玻璃,,,,1.0,
紫金矿业,,,,1.0,
紫金银行,,,,1.0,
红宝丽,,,,1.0,
维格娜丝,,,,1.0,
绿茵生态,,,,1.0,
美亚柏科,,,,1.0,
美克家居,,,,1.0,
苏泊尔,,,,1.0,
英洛华,,,,1.0,
荣盛石化,,,,1.0,
药明康德,,,,1.0,
裕同科技,,,,1.0,
设研院,,,,1.0,
重庆燃气,,,,1.0,
金科股份,,,,1.0,
陆家嘴,,,,1.0,
高盟新材,,,,1.0,
鹏鼎控股,,,,1.0,
齐翔腾达,,,,1.0,
世纪空间,1.0,,,,
乐鑫科技,1.0,,,,
优刻得,1.0,,,,
传音控股,1.0,,,,
创鑫激光,2.0,,,,
利元亨,1.0,,,,
华兴源创,3.0,,,,
南微医学,1.0,,,,
复旦张江,1.0,,,,
天奈科技,2.0,,,,
威胜信息,1.0,,,,
微芯生物,1.0,,,,
恒安嘉新,2.0,,,,
晶丰明源,1.0,,,,
晶晨股份,1.0,,,,
永泰能源,,,,,1.0
浦东建设,1.0,,,,
浪潮信息,,,,,1.0
海尔生物,1.0,,,,
澜起科技,1.0,,,,
福光股份,1.0,,,,
紫晶存储,2.0,,,,
美迪西,1.0,,,,
聚辰股份,1.0,,,,
苑东生物,1.0,,,,
鸿泉物联,1.0,,,,
龙软科技,2.0,,,,
